,Bike_number,StartLatitude,StartLongitude,EndLatitude,EndLogitude,OriginZip,DestinationZip,Duration,Duration per minute
0,W20870,38.9086,-77.0323,38.9086,-77.0323,20005,20005,904.0,15.066666666666666
1,W22962,38.9176,-77.0321,38.9176,-77.0321,20010,20010,80.0,1.3333333333333333
2,W23349,38.9057,-77.0056,38.9057,-77.0056,20002,20002,7600.0,126.66666666666667
3,W00493,38.8952,-77.0436,38.8952,-77.0436,20006,20006,2686.0,44.766666666666666
4,W21431,38.8767,-77.0178,38.8767,-77.0178,20024,20024,763.0,12.716666666666667
5,W22964,38.9319,-77.0388,38.9319,-77.0388,20036,20036,1400.0,23.333333333333332
6,W01115,38.9086,-77.0323,38.9086,-77.0323,20006,20005,537.0,8.95
7,W22007,38.9057,-77.0056,38.9057,-77.0056,20002,20002,90.0,1.5
8,W20862,38.9176,-77.0321,38.9176,-77.0321,20010,20010,1696.0,28.266666666666666
9,W22429,38.9319,-77.0388,38.9319,-77.0388,20010,20036,1185.0,19.75
10,W20565,38.9176,-77.0321,38.9176,-77.0321,20010,20010,145.0,2.4166666666666665
11,W21070,38.8952,-77.0436,38.8952,-77.0436,20036,20036,3671.0,61.18333333333333
12,W20059,38.8767,-77.0178,38.8767,-77.0178,20024,20024,2258.0,37.63333333333333
13,W22777,38.9086,-77.0323,38.9086,-77.0323,20005,20005,4410.0,73.5
14,W21048,38.9057,-77.0056,38.9057,-77.0056,20002,20002,218.0,3.6333333333333333
15,W22503,38.9057,-77.0056,38.9057,-77.0056,20002,20002,1519.0,25.316666666666666
16,W00937,38.9176,-77.0321,38.9176,-77.0321,20010,20010,82.0,1.3666666666666667
17,W22924,38.9003,-77.0429,38.9003,-77.0429,20006,20006,1189.0,19.816666666666666
18,W22849,38.8767,-77.0178,38.8767,-77.0178,20024,20024,119.0,1.9833333333333334
19,W23297,38.8767,-77.0178,38.8767,-77.0178,20024,20024,714.0,11.9
20,W23305,38.9086,-77.0323,38.9086,-77.0323,20006,20005,7677.0,127.95
21,W22542,38.9057,-77.0056,38.9057,-77.0056,20002,20002,8876.0,147.93333333333334
22,W22098,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1381.0,23.016666666666666
23,W23146,38.8952,-77.0436,38.8952,-77.0436,20036,20036,9263.0,154.38333333333333
24,W00446,38.8952,-77.0436,38.8952,-77.0436,20006,20006,4860.0,81.0
25,W01278,38.9003,-77.0429,38.9003,-77.0429,20006,20006,2358.0,39.3
26,W20125,38.9086,-77.0323,38.9086,-77.0323,20005,20005,2745.0,45.75
27,W21709,38.9086,-77.0323,38.9086,-77.0323,20005,20005,3259.0,54.31666666666667
28,W00526,38.9249,-77.0222,38.9249,-77.0222,20059,20059,12705.0,211.75
29,W22546,38.9057,-77.0056,38.9057,-77.0056,20002,20002,1223.0,20.383333333333333
30,W20811,38.9319,-77.0388,38.9319,-77.0388,20010,20036,3384.0,56.4
31,W20774,38.9086,-77.0323,38.9086,-77.0323,20006,20005,8755.0,145.91666666666666
32,W20384,38.8952,-77.0436,38.8952,-77.0436,20036,20036,1654.0,27.566666666666666
33,W21495,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1603.0,26.716666666666665
34,W01291,38.8952,-77.0436,38.8952,-77.0436,20036,20036,7062.0,117.7
35,W21439,38.8767,-77.0178,38.8767,-77.0178,20024,20024,628.0,10.466666666666667
36,W21255,38.8767,-77.0178,38.8767,-77.0178,20024,20024,108.0,1.8
37,W01068,38.8767,-77.0178,38.8767,-77.0178,20024,20024,9863.0,164.38333333333333
38,W01370,38.8952,-77.0436,38.8952,-77.0436,20036,20036,213.0,3.55
39,W00139,38.9375,-77.0328,38.9375,-77.0328,20010,20010,741.0,12.35
40,W00039,38.9086,-77.0323,38.9086,-77.0323,20005,20005,7310.0,121.83333333333333
41,W01068,38.8952,-77.0436,38.8952,-77.0436,20036,20036,97.0,1.6166666666666667
42,W00676,38.9375,-77.0328,38.9375,-77.0328,20010,20010,1673.0,27.883333333333333
43,W22314,38.9057,-77.0056,38.9057,-77.0056,20002,20002,1476.0,24.6
44,W00420,38.9057,-77.0056,38.9057,-77.0056,20002,20002,2412.0,40.2
45,W00907,38.8767,-77.0178,38.8767,-77.0178,20024,20024,5664.0,94.4
46,W21373,38.9086,-77.0323,38.9086,-77.0323,20006,20005,7312.0,121.86666666666666
47,W22169,38.8767,-77.0178,38.8767,-77.0178,20024,20024,2317.0,38.61666666666667
48,W22778,38.9057,-77.0056,38.9057,-77.0056,20002,20002,3836.0,63.93333333333333
49,W21979,38.9319,-77.0388,38.9319,-77.0388,20036,20036,939.0,15.65
50,W20533,38.8637,-77.0633,38.8637,-77.0633,20037,22204,3043.0,50.71666666666667
51,W00007,38.8767,-77.0178,38.8767,-77.0178,20024,20024,576.0,9.6
52,W20757,38.9086,-77.0323,38.9086,-77.0323,20005,20005,2104.0,35.06666666666667
53,W21438,38.9057,-77.0056,38.9057,-77.0056,20002,20002,7606.0,126.76666666666667
54,W21213,38.9086,-77.0323,38.9086,-77.0323,20005,20005,1688.0,28.133333333333333
55,W22640,38.9057,-77.0056,38.9057,-77.0056,20002,20002,1010.0,16.833333333333332
56,W00098,38.9176,-77.0321,38.9176,-77.0321,20010,20010,194.0,3.2333333333333334
57,W00782,38.8767,-77.0178,38.8767,-77.0178,20024,20024,684.0,11.4
58,W21090,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1441.0,24.016666666666666
59,W22743,38.8952,-77.0436,38.8952,-77.0436,20036,20036,1805.0,30.083333333333332
60,W00810,38.8767,-77.0178,38.8767,-77.0178,20024,20024,757.0,12.616666666666667
61,W22973,38.8767,-77.0178,38.8767,-77.0178,20024,20024,796.0,13.266666666666667
62,W00659,38.9086,-77.0323,38.9086,-77.0323,20005,20005,9267.0,154.45
63,W21667,38.8637,-77.0633,38.8637,-77.0633,20037,22204,1134.0,18.9
64,W01403,38.9375,-77.0328,38.9375,-77.0328,20010,20010,1718.0,28.633333333333333
65,W00379,38.9086,-77.0323,38.9086,-77.0323,20006,20005,1500.0,25.0
66,W23064,38.9003,-77.0429,38.9003,-77.0429,20006,20006,554.0,9.233333333333333
67,W20125,38.9086,-77.0323,38.9086,-77.0323,20006,20005,998.0,16.633333333333333
68,W23086,38.9057,-77.0056,38.9057,-77.0056,20002,20002,3910.0,65.16666666666667
69,W23342,38.9319,-77.0388,38.9319,-77.0388,20036,20036,887.0,14.783333333333333
70,W20705,38.9057,-77.0056,38.9057,-77.0056,20002,20002,1285.0,21.416666666666668
