,externalID,OriginZip,DestinationZip,TotalAMount,milage,Duration
0,70300_26NQE2DC,20045,20008,15.38,4.53,906
1,52753_26NFPSK9,20002,20001,8.9,1.25,546
2,80204_26NNEHDF,20002,20012,19.16,5.87,1063
3,91156_26NF1S7U,20001,20011,11.87,2.88,713
4,26458117,20011,20006,19.7,4.87,31
5,28357396,20037,20548,6.5,2.2,30
6,74291_26NFMZ1K,20007,20036,9.36,1.37,482
7,34453819,20001,20814,23.75,8.0,30
8,35197379,20024,20006,40.04,8.0,55
9,77814_26NKIC35,20002,22202,17.3,4.22,677
10,74722_26NL3653,20250,22203,19.62,6.0,967
11,31367524,20036,22202,26.88,5.9,33
12,82242_26NS5QYR,20004,22202,10.79,3.05,389
13,26843573,20009,20002,26.23,4.0,39
14,56040_26NFQ2U9,20036,20005,8.59,0.72,281
15,27713049,20052,20002,18.27,2.8,29
16,82674_26NS9LXT,20560,20003,12.98,2.29,574
17,60514_26NNI4US,20024,20002,12.95,2.06,930
18,30293374,20001,20166,84.38,28.1,59
19,33876441,20260,20019,39.36,6.2,54
20,34709142,20002,20002,24.56,7.0,36
21,66350_26NMATQR,20007,20037,9.63,1.1,519
22,76647_26NO1I8B,20037,20036,10.09,0.91,445
23,51667_26NF5PAH,20006,20006,9.47,0.51,324
24,66374_26NPA18X,20565,20816,25.02,6.99,1643
25,30902103,20005,22202,31.91,4.0,41
26,82717_26NEKNES,20005,20002,16.03,1.65,1044
27,26670888,20007,20817,40.28,12.4,35
28,29844753,20560,20005,8.66,0.7,54
29,77494_26NNGMBR,20002,20002,10.63,1.54,445
30,36276102,20002,20010,38.06,8.94,49
31,56698_26NDD5NG,20009,20010,9.63,0.65,532
32,80979_26NR2IJL,20011,20011,8.63,1.69,402
33,66271_26NU1OJU,20001,20024,9.17,1.52,534
34,35458681,20002,20012,25.91,5.48,31
35,52504_26NF65N7,20036,20002,18.35,2.59,1468
36,27601938,20037,20015,30.6,5.0,34
37,29982110,20037,20010,21.97,3.7,37
38,76950_26NF21BF,20007,20008,5.93,0.63,230
39,33671955,20002,22314,33.65,8.0,37
40,71977_26NF4SOT,20007,20002,20.97,4.54,1578
41,26910981,20001,20024,22.05,3.21,40
42,70812_26NNHXAA,20024,20005,14.33,1.82,781
43,29661882,20006,22202,30.5,5.2,53
44,63976_26NL34GV,20003,20002,11.06,1.96,702
45,81480_26NMWSO0,20005,20016,26.94,5.1,1758
46,64341_26NCQ8R4,20002,22202,26.56,7.02,1125
47,80795_26NCRW8T,20010,20010,5.66,0.32,229
48,74138_26NNDODZ,20004,20009,11.87,2.42,810
49,33006416,20009,20002,24.74,4.86,33
50,71287_26NFPL32,20010,20431,12.68,2.83,858
51,81579_26NNICZ1,20001,20002,12.41,1.28,893
52,31033071,20008,20745,46.9,14.0,37
53,1347973A,20010,20019,26.02,6.3715402051982,1824
54,28066123,20015,20002,30.7,7.0,34
55,76944_26NDA3SJ,20007,20007,7.74,0.6,359
56,36011653,20003,20003,31.15,2.69,43
57,28896548,20002,20015,32.39,9.27,30
58,32678400,20037,22314,50.86,12.0,77
59,28625244,20001,20008,26.99,5.26,34
60,33129495,20001,20002,29.38,4.8,41
61,65570_26NMVXPH,20002,20019,19.97,5.22,1259
62,27598902,20009,20017,21.86,6.0,32
63,77364_26NF46TB,20036,20001,8.82,1.23,409
64,56987_26NOO4QO,20006,20003,14.03,3.42,870
65,56404_26NMBIWQ,20009,20009,6.74,0.89,351
66,77173_26NNHYDO,20004,20003,12.98,1.43,619
67,29649240,20002,20007,26.56,4.2,39
68,72900_26NDUI7O,20009,20001,15.6,2.05,783
69,31133431,20002,20151,78.4,28.0,42
70,35682793,20019,20037,30.5,6.61,40
71,78108_26NMW21H,20036,20166,69.92,28.38,2734
72,30983642,20002,20816,32.64,8.8,30
73,79727_26NM6ISU,20045,20001,10.25,1.45,650
74,80803_26NUNIZ0,20004,20001,5.93,0.48,257
75,35622317,20010,20002,25.02,2.76,35
76,33386529,20007,20009,24.83,1.8,36
77,33417042,20004,20004,20.51,3.18,36
78,28455275,20004,20002,19.7,4.7,29
79,30334780,20002,20011,26.53,4.0,39
80,31078415,20024,20007,26.07,6.8,30
81,34197125,20005,20005,66.68,28.0,40
82,82743_26NTBU3O,20002,20002,11.71,1.81,553
83,71393_26NEIKGX,20001,20002,6.74,0.63,355
84,36386896,20009,22003,36.44,15.0,35
85,29740096,20007,20002,23.64,5.0,29
86,77751_26NOO0EF,20005,20009,7.47,0.92,295
87,77348_26NCQGZ6,20009,20010,10.52,1.55,669
88,51999_26NCNLWV,20001,20005,14.84,1.98,1132
89,35724121,20037,20037,24.24,3.0,37
90,72715_26NTC1TM,20001,20016,22.4,6.67,1292
91,31893639,20008,20002,22.4,4.7,37
92,61731_26NDA3Y8,20006,20001,9.9,1.29,506
93,64496_26NO2ZMW,20005,20005,8.47,0.71,308
94,62523_26NL3QG5,20007,20037,7.12,0.57,189
95,75524_26NDXQBY,20024,20004,6.74,1.04,321
96,51021_26NSUW7D,20565,22209,18.0,3.8,975
97,63310_26NFPUCB,20002,20268,13.71,1.23,638
98,33782524,22202,20001,25.68,4.0,29
99,53692_26NP9V8K,20535,20006,10.09,1.45,449
100,65126_26NM78IJ,20001,20001,8.01,0.65,358
101,32738318,20001,20001,74.81,26.0,34
102,65056_26NQD79F,20001,20037,10.17,1.65,548
